Number,Year,Month,avr_air_pressure,avr_wind_spd,avr_temp,avr_water_pressure,rel_humidity,day_precipitation,month_sun,hour_sun,extreme_wind_speed,min_air_pressure,min_temp,max_air_pressure,max_temp,max_wind_speed,day_max_precipitation
54236,2011,8,998.2,2.3,23.5,24.2,84,8,51,218.9,15.9,986.7,14.6,1007.9,30.7,8.1,39.8
54236,2011,9,1005.2,3.1,16,12.4,69,6,71,262.8,18.6,993.3,3,1015.2,28.4,11.7,17.7
54236,2011,10,1009.4,3.4,11.1,8.8,67,5,58,196.9,17.4,990.8,-1.4,1019.2,24.5,10.8,13.3
54236,2011,11,1015.8,2.9,0.2,4.2,62,8,59,170.4,17.3,1000.3,-13.3,1030.4,17.5,9.7,7.8
54236,2011,12,1020,2.5,-10,1.5,53,,70,197.6,13.8,1008.7,-23.7,1031.2,4.4,8.3,
54236,2012,1,1019.4,2.2,-13.8,1.2,54,2,57,166.9,13.3,1008.6,-24.2,1030.5,-0.8,8.1,0.7
54236,2012,2,1014.4,3.5,-8.6,1.7,46,2,65,200.1,17.8,1001.6,-22.8,1026.6,4.5,12.4,4.1
54236,2012,3,1010.5,4,-0.7,3.3,55,4,58,214.7,22.8,994.2,-14.6,1022.2,17.2,13,9.6
54236,2012,4,1000.4,4.9,10,6.7,52,9,48,193,22.8,982.7,-6.4,1014.5,22.2,14.8,97.1
54236,2012,5,999.5,3.3,18.3,9.9,50,7,60,271.9,18.6,986.4,5.4,1009.3,31.3,11.6,10.8
54236,2012,6,994.8,3.5,21.5,19.5,77,15,44,200.6,16.6,984.6,12.4,1006.4,30.5,10.6,63.7
54236,2012,7,993.8,3.3,24.3,23.8,79,7,52,237.7,20.5,983.3,16.3,1002.9,32,12.9,55.4
54236,2012,8,999.4,2.8,22.7,22.3,81,14,56,239.7,16.8,984.6,10.8,1006.5,31.5,10.5,47.5
54236,2012,9,1004.2,3.1,17.8,15.5,77,8,53,197.1,20.1,995.8,4.9,1013.6,30.9,11.4,26
54236,2012,10,1008.1,3,9.1,7.9,67,6,63,213.9,16.2,997.3,-4.3,1018.7,23.9,10,22.1
54236,2012,11,1009.5,3.1,-1.1,4,67,7,56,161.2,19.2,985.2,-14.4,1024.5,10.1,12.9,30.4
54236,2012,12,1016.4,2.8,-12,1.5,59,3,65,183.1,16.8,999.5,-25.7,1029.7,2.3,10.1,1.7
54236,2013,1,1017.5,2.6,-13.4,1.6,66,3,53,156.2,16.3,1001.8,-23.9,1030.2,1.7,9.7,0.6
54236,2013,2,1015.8,3.4,-8.2,2,56,5,69,206.5,21.9,993.8,-21.5,1030.2,8.1,12.4,6.7
54236,2013,3,1007.9,4.3,-1,3.4,57,2,60,223.9,24.4,984.8,-12.7,1024.7,12.3,16.3,5.7
54236,2013,4,1003.1,3.7,5.9,5.3,57,10,58,233.2,22.4,990.3,-4.1,1014.5,20.9,14.8,11.8
54236,2013,5,998,4.7,18.6,10.9,54,4,64,290.2,27,981.6,5,1010.2,34.6,18.1,8
54236,2013,6,996.4,4.1,21.9,17.1,67,10,48,216.9,19.1,986.1,10.8,1006.3,31.1,12.8,46
54236,2013,7,991.4,3.2,24.7,23.6,77,10,49,226.7,18.7,978.7,17.6,999.6,32.4,12.5,80.1
54236,2013,8,994.4,3.6,24,23.5,79,12,48,205.9,21.6,984.6,10.3,1002.4,33.3,14.1,65
54236,2013,9,1004.5,3.1,17.4,13.4,68,7,64,238.3,19.5,991.3,1.9,1014.6,28,12.8,10.8
54236,2013,10,1010.9,2.8,9.2,8,69,8,54,181.5,22.4,994.4,-4.1,1022,25,12.9,36.8
54236,2013,11,1009.2,3.4,1.2,3.9,55,2,57,166.5,16.9,998.4,-11.5,1020.8,16.7,10.9,2.7
54236,2013,12,1013.4,2.6,-7.6,2,58,4,62,174.9,18.1,993.2,-19.7,1026.7,8.3,11,0.8
54236,2014,1,1014.8,3.3,-9.3,1.7,53,3,63,184.7,22.6,994.5,-22.1,1027.9,3.8,14.4,3.1
54236,2014,2,1018.2,2.7,-6.8,1.9,45,1,50,147.8,19,993.1,-20.1,1029.2,11.8,11.5,6.6
54236,2014,3,1009.2,3.1,3,3.6,44,2,68,253,15.8,995.6,-13.8,1021,20.2,10.6,4.2
54236,2014,4,1005.9,3.8,12.2,5.3,39,1,68,275.2,21.8,994.6,-2.9,1015.3,28.5,15.2,1.4
54236,2014,5,996.3,3.5,17.3,9.9,53,9,56,255.5,21.4,980.8,1.1,1011,33.5,12.4,16.1
54236,2014,6,995.5,2.9,22.2,18,70,14,49,223,16.7,989.8,13.4,1002,33.3,11.7,39.8
54236,2014,7,994.5,3.6,24.1,22.2,75,7,44,203.1,17.8,986.7,15.8,1001.9,31.9,11,77.3
54236,2014,8,998.4,2.5,23,20.6,75,6,63,266.4,21.2,990.1,12.6,1008,32.8,11.9,16.7
54236,2014,9,1005.1,2.3,16.7,11.9,64,7,69,256.7,15,993.5,-0.8,1019,29.6,9,5.5
54236,2014,10,1010.3,3.2,10.3,7.7,58,2,56,189.2,17.7,995.1,-7.6,1025.1,24.1,11.1,9
54236,2014,11,1012.1,2.6,1.5,3.6,51,1,59,171.2,18.2,1000.2,-11.7,1023.3,18.9,9.9,0.2
54236,2014,12,1014.9,2.6,-9.9,1.7,56,2,62,173,16.9,997.7,-24.2,1027.6,3.1,8.7,4.2
54236,2015,1,1017.1,2.3,-9.3,1.8,59,3,56,164.9,14.2,999.3,-20.5,1030.4,3,8,1.3
54236,2015,2,1013.1,2.9,-5.3,2.2,52,5,64,189.6,16.2,998.7,-21,1026.2,7.7,10.1,3.9
54236,2015,3,1010.4,3.6,2.1,3.2,42,2,64,236.4,23,997.8,-12.8,1025.4,19.3,11.9,2.3
54236,2015,4,1004.9,3.6,11.2,5.7,44,4,60,241.3,20.7,983.4,-3.6,1022.8,32.6,11.6,18.1
54236,2015,5,996.4,3.9,17.6,9.6,49,9,57,258.2,21.7,978.6,0.8,1011,33.6,13.3,34.3
54236,2015,6,995.2,3.1,21.7,17.3,69,13,51,232.7,18.1,984.5,11.4,1001.4,32.4,11.1,26.4
54236,2015,7,996.4,2.8,24.5,21,69,7,51,234,15.3,981.9,13.3,1005.5,34.3,9.1,10.6
54236,2015,8,997.9,2.5,23.8,22.5,77,8,52,222.5,13.4,988.9,15.2,1005.2,33.3,7.9,29.9
54236,2015,9,1005.6,2.5,18.4,13.2,65,3,67,248.7,15.6,997.9,6.8,1021.3,31.7,8.7,10.7
54236,2015,10,1008.6,3.1,9.7,7.2,56,6,62,210.2,15.7,992,-7.1,1022.9,27.2,9.1,20.9
54236,2015,11,1018.9,3,-2.7,3.4,60,2,34,98.5,16.3,1001.9,-18.7,1034.3,18.6,9.4,6.3
54236,2015,12,1016.7,2.5,-6.9,2.5,64,3,49,138.1,12.7,1001.4,-22.8,1029.2,4.5,7.9,1.1
54236,2016,1,1018.8,2.7,-12.6,1.1,45.1,0,,,12.3,1007.8,-26,1032.2,4.1,6.5,0
54236,2016,2,1014.43,3.15,-5.7,1.9,44.9,1,,200,15.5,1000.9,-23.1,1028,9.1,9.2,5.2
54236,2016,3,1010.2,3.4,3.4,3.4,43.6,2,,237,18.5,993.5,-9.7,1022.1,22.1,11.3,2.6
54236,2016,4,1002.3,3.8,10.5,5.9,47.3,8,,,23.4,988.6,-4.3,1014.6,23.1,13.7,21.9
54236,2016,5,998.3,4.5,18,9,47,9,,255,27.7,975.9,3.3,1012.3,31.7,15,35.9999
54236,2016,6,995.5,3.3,22.5,16.5,62.6,14,,225,16.3,985.9,11.4,1004.6,32.9,9.7,12.5
54236,2016,7,996.5,2.8,24.8,23.6,76,9,,202,15.1,988.2,16.6,1003.7,34.1,9.4,70.4
54236,2016,8,997.9,2.5,24.1,22.1,73.4,7,,259,14.2,978.8,11.1,1006.2,34.5,7.8,43.1
54236,2016,9,1003.8,2.3,18.2,15.8,75.4,9,,182,18.6,979.1,-0.2,1018.2,29.7,10.2,4.6
54236,2016,10,1011.5,2.7,8.3,7.8,65.8,9,,170,16,994.6,-7.2,1027,27.3,9,6.4
54236,2016,11,1014.5,2.7,-2.2,3.4,61,5,,152,15.3,994.3,-16.3,1028.3,11.4,9,5.7
54236,2016,12,1016.4,2.5,-7.7,2.6,69.4,4,,111,15.4,1002.4,-22.5,1025.9,8.2,8.2,8.5
54236,2017,1,1017.28,2.49,-8.98,1.8,54.32,0,,171.4,18.4,1002.5,-20.5,1027.7,5.7,11,0
54236,2017,2,1014.4,3.2,-4.7,2.2,47.5,1,,170.2,17.2,994.3,-16.1,1026.6,10.1,9.6,6.9
54236,2017,3,1010.68,2.65,2.53,2.78,38.78,0,,220.7,13.9,999.3,-12,1019.4,17.8,7.8,0
54236,2017,4,1000.69,3.7,12.89,4.84,34.5,2,,277.9,17.3,983.8,-2.9,1013.9,33,9.9,0.1
54236,2017,5,999.38,4.18,18.4,9.47,46.31,6,,313,19.9,989.6,2.2,1009,34.3,11.5,8.6
54236,2017,6,996.9,3.1,22.9,14.8,53.4,5,,269.7,16.8,989.6,8.2,1005.8,37.3,9.8,16.8
54236,2017,7,995.2,3.2,25.8,23.9,72.9,8,,257.7,25.3,985.7,14.2,1004.3,34.8,12.3,25.6
54236,2017,8,997.2,2.4,23.1,22.8,78.7,17,,191.6,19.1,983.6,7.1,1010,32.3,9.6,58.8
54236,2017,9,1002.1,2.8,17.9,14,67.8,7,,238.6,16,991.1,-0.4,1012.1,30.6,9.1,6.8
54236,2017,10,1013.5,3,9,6.7,55.3,3,,203.1,16.9,996.6,-7.6,1024.2,23.1,9.9,10.2
54236,2017,11,1012.3,3.4,-0.8,3.1,45.1,2,,212.3,19.4,1000.6,-17,1027,18.3,12.3,0.3
54236,2017,12,1016,2.6,-8.8,1.4,43.2,1,,187.2,17.5,999,-22.6,1028.7,5.9,9.7,0.2
54236,2018,1,1016.2,2.5,-12.2,1.2,44.3,2,,205.7,14.5,984.9,-19.5,1015.4,5,8.6,1.5
54236,2018,2,1014.4,2.8,-9.1,1.2,37.4,0,,217.6,13.1,992.7,-22.3,1015.7,6.2,7.7,2.2
54236,2018,3,1010.3,3.9,1.3,3.5,48.5,3,,231.9,17.1,982.6,-15,1014.5,24.8,9.7,0.6
54236,2018,4,1003.6,4.8,11.4,5.5,39.5,7,,219.8,17.4,966.5,-5.3,1003.7,33.1,10.9,16.6
54236,2018,5,999.3,3.8,18.4,10.1,48.9,7,,274.7,15.1,978.7,3.5,996.4,33,10.1,43.1
54236,2018,6,994.3,3.4,22.9,17.6,65.7,12,,225.3,17.3,973.3,13.2,991.6,33.9,10.2,20.5
54236,2018,7,996.3,3.6,26.2,26,77.2,11,,197.8,17.2,974.3,17.2,992.7,36.7,9.2,23.2
54236,2018,8,998.6,2.4,24.2,21.9,74.6,15,,211.1,10.1,977,11.6,997.1,33.8,8,41
54236,2018,9,1003.2,2.6,17.1,12.8,66.5,10,,232,10.5,983.7,5.1,1002,32,7.6,11.2
54236,2018,10,1009,2.6,9.2,6.6,57.6,4,,246.2,11.9,987.2,-5.5,1018.4,25.4,6.1,6.3
54236,2018,11,1014.4,2.4,0.6,3.6,52.4,1,,182.1,12.9,984.7,-9.5,1016.1,21.9,6.1,
54236,2018,12,1019.3,2.7,-8.3,1.6,41.5,1,,194.1,11.1,987.2,-17.9,1016.4,6.8,6.5,0.1
54236,2019,1,1017,2.8,-7.7,1.5,42.1,0,,192.5,10.6,992.3,-19,1017.1,6.8,7.7,0.4
54236,2019,2,1015.7,2.7,-5.9,1.7,38.2,2,,185,14.7,983,-22.2,1024.4,13.5,9.6,2.6
54236,2019,3,1005.9,3.48,3.48,3.25,42.48,4,,254.7,16.5,979.9,-12.9,1008.6,19,9.9,
54236,2019,4,1003.6,4,10.5,4.7,36.2,3,,222.2,15.7,965.6,-4.2,1004,23.6,11.7,7.4
54236,2019,5,997.2,4.3,19.1,9,43.2,8,,302.2,18.9,978.9,3.2,1006.2,34.2,14,4.3
54236,2019,6,995.7,3.3,21.5,17.2,69.3,11,,240.4,18.7,969.2,13,992.7,35.6,11.3,95.6
54236,2019,7,993.7,2.8,25.3,25.6,80.3,13,,197.8,16.9,974.3,13.8,995.2,35.5,9.8,7.9
54236,2019,8,996.7,2.2,22.7,22.3,81.3,21,,163,13,980.1,12.1,995.3,35.3,7.7,20.9
54236,2019,9,1006.1,2.3,18.8,14.8,68.2,5,,243.3,13,980.2,2,1003.4,31.8,8.1,13.2
54236,2019,10,1010.4,2.7,9.8,6.9,55.2,3,59.86,230.8,13.3,988.1,-7.1,1013.2,31.7,8.3,21.2
54236,2019,11,1015,2.7,-0.1,3.3,48.9,5,,187.6,15,983.1,-13.7,1016.5,21.2,8.9,1.7
54236,2019,12,1016.4,2.1,-9.3,2.2,65.6,2,,168.5,13,992.2,-19.4,1016.1,7.3,8.5,
54236,2020,1,1017.4,1.9,-10.9,1.9,66.7,1,,250.9,14.5,993.4,-17.5,1015.3,6.1,8.7,
54236,2020,2,1015.9,2.9,-5.2,2.7,58.3,2,,227.7,17.4,986.1,-17.7,1011.8,15.5,10.9,2.1
54236,2020,3,1007.3,3.4,3.2,3.8,50.6,4,92.47,305.6,19.4,977.8,-16.5,1009.8,18.4,12.4,26.5
54236,2020,4,1006.4,3.2,10.3,4.8,38.1,2,95.52,343.6,17.3,976.7,-4.9,1005.5,33.3,12.2,14.8
54236,2020,5,997.5,3.8,17.2,11,57.9,11,78.61,328.2,17.7,973.8,5.4,996.3,31.8,10.2,23.4
54236,2020,6,994.5,3.4,23.3,16.6,59.3,4,86.25,378.8,20.4,973.4,12.8,993.7,39.5,10.8,19
54236,2020,7,996.3,2.9,25.5,21.4,67.3,5,78.36,370.2,12.4,975.4,13.2,991.4,34,8.5,55.1
54236,2020,8,996,2.7,24,23,77.7,10,66.78,308.3,11.3,975.6,13.8,997.3,34.2,8.1,27.6
54236,2020,9,1002.5,2.7,17.7,15.1,74.9,14,68.46,283.8,13.7,985.3,4.8,1005,33.4,7.6,14.8
54236,2020,10,1010.5,2.6,9.3,6.6,55.5,2,74.42,285.9,13.5,988.3,-5.9,1011.5,29.5,8.4,18
54236,2020,11,1015.5,3,0.9,3.9,55.4,2,59.78,197.5,15.6,991.3,-12,1017,16.9,10.3,13.5
54236,2020,12,1017.5,2.63,-9.55,1.58,52.35,0,77.8,227.2,14.6,991.1,-16.9,1016.1,5.3,10.1,5.5
54324,2005,1,1003.3,2.2,-8.1,1.3,38,1,59,174.9,12.6,993.1,-21.6,1022.3,6.3,8.4,
54324,2005,2,1006.1,2.3,-8.8,1.2,38,3,65,195.8,15.5,984.3,-19.1,1018.1,13.7,10,
54324,2005,3,999.4,3.2,1.8,1.9,28,1,64,240.2,19.9,983.7,-9.1,1009.2,19.3,11.1,1.2
54324,2005,4,989.5,3.6,13.1,4.6,31,5,56,224,16.8,978.8,-1.1,1003.2,31,11.7,11.1
54324,2005,5,988.2,2.8,17.1,9.2,49,7,51,231.3,16.5,975.9,2.3,998.4,31.4,11.8,16.7
54324,2005,6,981.9,2.3,21.9,18.6,72,15,39,174.6,15.8,977.5,6.9,995.6,34.9,10.2,20.9
54324,2005,7,984.1,1.9,25,23.2,75,15,44,202.4,11.6,972.3,17.2,991.9,35.9,8.6,38.2
54324,2005,8,987.7,1.3,23.3,22,77,10,41,172.6,13,978.4,13.3,993.8,36.3,9,15.2
54324,2005,9,995.4,1.8,19.2,13.4,63,5,61,225.1,14,983.2,2.4,1005.7,33.3,7.8,13.4
54324,2005,10,999.3,1.8,11.6,7,53,4,67,226,14.4,987.7,-3.8,1006.4,27.3,8.3,17.3
54324,2005,11,998.9,1.5,2,3.3,47,0,69,202.2,17.3,984.3,-12.8,1012.9,20.8,12.3,
54324,2005,12,1006.6,1.7,-9.1,1.3,44,1,63,178.8,17.2,986.5,-16.9,1018.4,11.2,11.2,
54324,2006,1,1006.1,1.5,-8.1,1.6,46,2,54,159.4,14.6,988.2,-21.1,1018.5,8.4,10,0.3
54324,2006,2,1004.7,2.2,-5.8,1.8,43,3,49,146.7,15.7,979.1,-22.9,1016.1,14.6,9.4,12.7
54324,2006,3,994.4,3.2,3,2.4,33,0,62,229.3,17.4,972.8,-9.8,1017.6,25.1,11.3,0.2
54324,2006,4,990.2,3.2,9.4,4.8,43,4,38,152.6,19.5,978.4,-4.5,1007.1,28.3,11.8,26.3
54324,2006,5,989.9,3.3,19.2,8.5,41,7,50,224,16.3,974.3,8,998,35.2,11.6,13.2
54324,2006,6,983.3,3.2,23.3,15.6,58,13,46,207.7,17.5,971.6,9.7,992.2,37.2,10.8,47.2
54324,2006,7,984.1,3,24.5,23,76,6,45,207.2,14.1,976.2,15.7,989.6,36.5,9.9,14.9
54324,2006,8,988,2.5,24.5,22.7,75,8,52,218.3,16.6,979.6,8.5,999.6,41.6,10.5,35.9
54324,2006,9,995.3,2.1,18.1,13.6,69,6,66,244.2,14,982.7,7.1,1001.3,32,8.7,4.4
54324,2006,10,998.6,2.4,12.1,8.2,58,4,68,230,18.4,976.2,-3.7,1012.6,24.2,12,2.8
54324,2006,11,1000,2.5,1.2,3.4,50,2,64,179.3,13.2,984.2,-14.3,1018.9,21.6,8.5,5.7
54324,2006,12,1006.3,2.3,-6.5,1.8,50,0,58,165.1,13.9,988.5,-24.1,1014.1,7.8,8.7,2.1
54324,2007,1,1006.8,2,-7.3,1.6,47,0,67,192.3,13.5,990,-27.7,1015.8,6.1,9.7,1.7
54324,2007,2,999,3.2,-0.4,2.6,44,1,66,197.2,14.3,978.7,-21.7,1016.6,13.5,9,0.2
54324,2007,3,997.8,3.5,2,3.8,54,4,54,201.5,18.6,978.2,-15.5,1020.1,19.5,11.9,4.4
54324,2007,4,993.9,3.5,11.4,4.8,38,2,44,175.4,17.7,980.8,-6.7,1007,23.8,11.9,14.8
